Gaunt[{l1, m1}, {l2, m2}, {l3, m3}] == 
Gaunt[{1, -1}, {5, 1}, {4, 0}] == -0.190188
Gaunt[{1, -1}, {5, 1}, {6, 0}] == 0.158246
Gaunt[{1, -1}, {5, 2}, {4, -1}] == 0.225034
Gaunt[{1, -1}, {5, 2}, {6, -1}] == -0.129207
Gaunt[{1, -1}, {5, 3}, {4, -2}] == -0.259847
Gaunt[{1, -1}, {5, 3}, {6, -2}] == 0.100084
Gaunt[{1, -1}, {5, 4}, {4, -3}] == 0.294638
Gaunt[{1, -1}, {5, 4}, {6, -3}] == -0.0707699
Gaunt[{1, -1}, {5, 5}, {4, -4}] == -0.329416
Gaunt[{1, -1}, {5, 5}, {6, -4}] == 0.040859
Gaunt[{1, -1}, {6, -6}, {7, 7}] == -0.333779
Gaunt[{1, -1}, {6, -5}, {7, 6}] == 0.309019
Gaunt[{1, -1}, {6,
 -4}, {5, 5}] == 0.040859
Gaunt[{1, -1}, {6, -4}, {7, 5}] == -0.284256
Gaunt[{1, -1}, {6, -3}, {5, 4}] == -0.0707699
Gaunt[{1, -1}, {6, -3}, {7, 4}] == 0.259489
Gaunt[{1, -1}, {6, -2}, {5, 3}] == 0.100084
Gaunt[{1, -1}, {6, -2}, {7, 3}] == -0.234717
Gaunt[{1, -1}, {6, -1}, {5, 2}] == -0.129207
Gaunt[{1, -1}, {6, -1}, {7, 2}] == 0.209937
Gaunt[{1, -1}, {6, 0}, {5, 1}] == 0.158246
Gaunt[{1, -1}, {6, 0}, {7, 1}] == -0.185147
Gaunt[{1, -1}, {6, 1}, {5, 0}] == -0.187239
Gaunt[{1, -1}, {6, 1}, {7, 0}] == 0.160342
Gaunt[{1, -1}, {6, 2}, {5, -1}] == 0.216205
Gaunt[{1, -1}, {6, 2}, {7, -1}] == -0.135514
Gaunt[{1, -1}, {6, 3}, {5, -2}] == -0.245154
Gaunt[{1, -1}, {6, 3}, {7, -2}] == 0.110647
Gaunt[{1, -1}, {6, 4}, {5, -3}] == 0.27409
Gaunt[{1, -1}, {6, 4}, {7, -3}] == -0.0857066
Gaunt[{1, -1}, {6, 5}, {5, -4}] == -0.303018
Gaunt[{1, -1}, {6, 5}, {7, -4}] == 0.0606037
